nohup: ignoring input
Retrying 16979 failed species (1 req/sec)
100/16979 done, 260 with lifeform
200/16979 done, 357 with lifeform
300/16979 done, 449 with lifeform
400/16979 done, 544 with lifeform
500/16979 done, 632 with lifeform
600/16979 done, 724 with lifeform
700/16979 done, 812 with lifeform
800/16979 done, 906 with lifeform
900/16979 done, 998 with lifeform
1000/16979 done, 1081 with lifeform
1100/16979 done, 1166 with lifeform
1200/16979 done, 1259 with lifeform
1300/16979 done, 1350 with lifeform
1400/16979 done, 1433 with lifeform
1500/16979 done, 1523 with lifeform
1600/16979 done, 1614 with lifeform
1700/16979 done, 1706 with lifeform
1800/16979 done, 1791 with lifeform
1900/16979 done, 1877 with lifeform
