plant,insect
"Abelmoschus esculentus","Amegilla zonata"
"Abelmoschus esculentus","Appias sp 1"
"Abelmoschus esculentus","Catochrysops sp 2"
"Abelmoschus esculentus","Eurema hecabe"
"Abelmoschus esculentus","Lasioglossum albescens"
"Abelmoschus esculentus","Lasioglossum sp4"
"Abelmoschus esculentus","Parnara guttata"
"Abelmoschus esculentus","Satyridae (sp 1)"
"Abelmoschus esculentus","Xylocopa sp 1"
"Actinidia chinensis","Andrena angustior"
"Actinidia chinensis","Andrena flavipes"
"Actinidia chinensis","Andrena nigroaenea"
"Actinidia chinensis","Andrena rhenana"
"Actinidia chinensis","Andrena sp."
"Actinidia chinensis","Andrena sp. 203"
"Actinidia chinensis","Andrena spreta"
"Actinidia chinensis","Andrena thoracica"
"Actinidia chinensis","Anthomyiidae"
"Actinidia chinensis","Apis mellifera"
"Actinidia chinensis","Bombus pascuorum"
"Actinidia chinensis","Bombus terrestris"
"Actinidia chinensis","Episyrphus balteatus"
"Actinidia chinensis","Eristalis tenax"
"Actinidia chinensis","Eupeodes corollae"
"Actinidia chinensis","Eupeodes sp."
"Actinidia chinensis","Halictus smaragdulus"
"Actinidia chinensis","Halictus sp."
"Actinidia chinensis","Lasioglossum albocinctum"
"Actinidia chinensis","Lasioglossum malachurum"
"Actinidia chinensis","Lasioglossum minutissimum"
"Actinidia chinensis","Lasioglossum sp."
"Actinidia chinensis","Lasioglossum sp. 680"
"Actinidia chinensis","Lasioglossum strictifrons"
"Actinidia chinensis","Lasioglossum transitorium"
"Actinidia chinensis","Melanostoma sp."
"Actinidia chinensis","Meliscaeva sp."
"Actinidia chinensis","Nitidulidae"
"Actinidia chinensis","Osmia caerulescens"
"Actinidia chinensis","Osmia ligurica"
"Actinidia chinensis","Parasyrphus punctulatus"
"Actinidia chinensis","Scaeva sp."
"Actinidia chinensis","Sphaerophoria scripta"
"Actinidia chinensis","Sphecodes ruficrus"
"Actinidia chinensis","Stomorhina lunata"
"Actinidia chinensis","Syrphus sp."
"Actinidia deliciosa","Aglais io"
"Actinidia deliciosa","Andrena angustior"
"Actinidia deliciosa","Andrena flavipes"
"Actinidia deliciosa","Andrena rhenana"
"Actinidia deliciosa","Andrena sp."
"Actinidia deliciosa","Andrena sp. 109"
"Actinidia deliciosa","Andrena sp. 203"
"Actinidia deliciosa","Andrena sp. 688"
"Actinidia deliciosa","Andrena sp. 778"
"Actinidia deliciosa","Andrena sp.1"
"Actinidia deliciosa","Andrena spreta"
"Actinidia deliciosa","Andrena thoracica"
"Actinidia deliciosa","Anthomyiidae"
"Actinidia deliciosa","Apidea"
"Actinidia deliciosa","Apis mellifera"
"Actinidia deliciosa","Apis_mellifera"
"Actinidia deliciosa","Araneus angulatus"
"Actinidia deliciosa","Bombus hortorum"
"Actinidia deliciosa","Bombus pascuorum"
"Actinidia deliciosa","Bombus sp."
"Actinidia deliciosa","Bombus terrestris"
"Actinidia deliciosa","Bombus_spp."
