plant_name,insect_name,interaction_type,source_db,n_obs,geo,year_range
Armeria maritima,Eupeodes corollae,pollination,DoPI,2,GB,
Armeria maritima,Hilara maura,pollination,DoPI,2,GB,
Angelica sylvestris,Tabanus bromius,pollination,DoPI,1,GB,
Phaseolus coccineus,Apis mellifera,pollination,DoPI,3,GB,
Acanthus mollis,Bombus hortorum,pollination,DoPI,2,GB,
Ajuga reptans,Bombus hortorum,pollination,DoPI,11,GB,
Alcea rosea,Bombus hortorum,pollination,DoPI,1,GB,
Centaurea cyanus,Bombus hortorum,pollination,DoPI,2,GB,
Centaurea montana,Bombus hortorum,pollination,DoPI,4,GB,
Cerinthe major,Bombus hortorum,pollination,DoPI,11,GB,
Digitalis purpurea,Bombus hortorum,pollination,DoPI,216,GB,
Echinops bannaticus,Bombus hortorum,pollination,DoPI,1,GB,
Geranium phaeum,Bombus hortorum,pollination,DoPI,2,GB,
Geranium pratense,Bombus hortorum,pollination,DoPI,6,GB,
Knautia arvensis,Bombus hortorum,pollination,DoPI,8,GB,
Lavandula angustifolia,Bombus hortorum,pollination,DoPI,8,GB,
Limnanthes douglasii,Bombus hortorum,pollination,DoPI,1,GB,
Origanum vulgare,Bombus hortorum,pollination,DoPI,6,GB,
Papaver orientale,Bombus hortorum,pollination,DoPI,1,GB,
Papaver somniferum,Bombus hortorum,pollination,DoPI,1,GB,
Pentaglottis sempervirens,Bombus hortorum,pollination,DoPI,1,GB,
Rubus fruticosus,Bombus hortorum,pollination,DoPI,40,GB,
Rubus idaeus,Bombus hortorum,pollination,DoPI,2,GB,
Salvia officinalis,Bombus hortorum,pollination,DoPI,1,GB,
Silene dioica,Bombus hortorum,pollination,DoPI,8,GB,
Silene latifolia,Bombus hortorum,pollination,DoPI,1,GB,
Symphoricarpos albus,Bombus hortorum,pollination,DoPI,1,GB,
Symphytum x,Bombus hortorum,pollination,DoPI,1,GB,
Vicia faba,Bombus hortorum,pollination,DoPI,7,GB,
Acanthus mollis,Bombus hypnorum,pollination,DoPI,1,GB,
Ajuga reptans,Bombus hypnorum,pollination,DoPI,5,GB,
Alcea rosea,Bombus hypnorum,pollination,DoPI,1,GB,
Centaurea cyanus,Bombus hypnorum,pollination,DoPI,3,GB,
Centaurea montana,Bombus hypnorum,pollination,DoPI,8,GB,
Cerinthe major,Bombus hypnorum,pollination,DoPI,2,GB,
Digitalis purpurea,Bombus hypnorum,pollination,DoPI,14,GB,
Echinops bannaticus,Bombus hypnorum,pollination,DoPI,1,GB,
Geranium phaeum,Bombus hypnorum,pollination,DoPI,6,GB,
Geranium pratense,Bombus hypnorum,pollination,DoPI,23,GB,
Knautia arvensis,Bombus hypnorum,pollination,DoPI,4,GB,
Lavandula angustifolia,Bombus hypnorum,pollination,DoPI,6,GB,
Limnanthes douglasii,Bombus hypnorum,pollination,DoPI,1,GB,
Origanum vulgare,Bombus hypnorum,pollination,DoPI,2,GB,
Papaver orientale,Bombus hypnorum,pollination,DoPI,1,GB,
Papaver somniferum,Bombus hypnorum,pollination,DoPI,1,GB,
Pentaglottis sempervirens,Bombus hypnorum,pollination,DoPI,14,GB,
Rubus fruticosus,Bombus hypnorum,pollination,DoPI,96,GB,
Rubus idaeus,Bombus hypnorum,pollination,DoPI,3,GB,
Salvia officinalis,Bombus hypnorum,pollination,DoPI,1,GB,
Silene dioica,Bombus hypnorum,pollination,DoPI,1,GB,
Silene latifolia,Bombus hypnorum,pollination,DoPI,1,GB,
Symphoricarpos albus,Bombus hypnorum,pollination,DoPI,1,GB,
Symphytum x,Bombus hypnorum,pollination,DoPI,1,GB,
Vicia faba,Bombus hypnorum,pollination,DoPI,1,GB,
Acanthus mollis,Bombus lapidarius,pollination,DoPI,1,GB,
Ajuga reptans,Bombus lapidarius,pollination,DoPI,6,GB,
Alcea rosea,Bombus lapidarius,pollination,DoPI,1,GB,
Centaurea cyanus,Bombus lapidarius,pollination,DoPI,23,GB,
Centaurea montana,Bombus lapidarius,pollination,DoPI,14,GB,
Cerinthe major,Bombus lapidarius,pollination,DoPI,1,GB,
Digitalis purpurea,Bombus lapidarius,pollination,DoPI,13,GB,
Echinops bannaticus,Bombus lapidarius,pollination,DoPI,2,GB,
Geranium phaeum,Bombus lapidarius,pollination,DoPI,4,GB,
Geranium pratense,Bombus lapidarius,pollination,DoPI,53,GB,
Knautia arvensis,Bombus lapidarius,pollination,DoPI,111,GB,
Lavandula angustifolia,Bombus lapidarius,pollination,DoPI,43,GB,
Limnanthes douglasii,Bombus lapidarius,pollination,DoPI,1,GB,
Origanum vulgare,Bombus lapidarius,pollination,DoPI,122,GB,
Papaver orientale,Bombus lapidarius,pollination,DoPI,2,GB,
Papaver somniferum,Bombus lapidarius,pollination,DoPI,1,GB,
Pentaglottis sempervirens,Bombus lapidarius,pollination,DoPI,5,GB,
Rubus fruticosus,Bombus lapidarius,pollination,DoPI,82,GB,
Rubus idaeus,Bombus lapidarius,pollination,DoPI,3,GB,
Salvia officinalis,Bombus lapidarius,pollination,DoPI,1,GB,
Silene dioica,Bombus lapidarius,pollination,DoPI,2,GB,
Silene latifolia,Bombus lapidarius,pollination,DoPI,1,GB,
Symphoricarpos albus,Bombus lapidarius,pollination,DoPI,1,GB,
Symphytum x,Bombus lapidarius,pollination,DoPI,1,GB,
Vicia faba,Bombus lapidarius,pollination,DoPI,5,GB,
Acanthus mollis,Bombus pascuorum,pollination,DoPI,2,GB,
Ajuga reptans,Bombus pascuorum,pollination,DoPI,121,GB,
