plant_name,insect_name,interaction_type,source_db,n_obs,geo,year_range
Urospermum picroides,Oedemera flavipes,pollination,EuPPollNet,6,Spain,
Sonchus tenerrimus,Rhodanthidium sticticum,pollination,EuPPollNet,1,Spain,
Sonchus tenerrimus,Oedemera lurida,pollination,EuPPollNet,9,Spain,
Lavandula stoechas,Rhodanthidium sticticum,pollination,EuPPollNet,34,Spain,
Sonchus tenerrimus,Psilothrix viridicoerulea,pollination,EuPPollNet,10,Spain,
Sonchus bulbosus,Psilothrix viridicoerulea,pollination,EuPPollNet,11,Spain,
Lavandula stoechas,Osmia aurulenta,pollination,EuPPollNet,7,Spain,
Lavandula stoechas,Anthophora aestivalis,pollination,EuPPollNet,4,Spain,
Sonchus bulbosus,Andrena cinerea,pollination,EuPPollNet,2,Spain,
Lavandula stoechas,Andrena cinerea,pollination,EuPPollNet,1,Spain,
Lavandula stoechas,Apis mellifera,pollination,EuPPollNet,2257,Spain,
Euphorbia segetalis,Polistes gallicus,pollination,EuPPollNet,1,Spain,
Urospermum picroides,Oedemera lurida,pollination,EuPPollNet,6,Spain,
Lavandula stoechas,Lasioglossum bimaculatum,pollination,EuPPollNet,3,Spain,
Lavandula stoechas,Anthophora retusa,pollination,EuPPollNet,6,Spain,
Sonchus bulbosus,Andrena senecionis,pollination,EuPPollNet,2,Spain,
Sonchus bulbosus,Oedemera lurida,pollination,EuPPollNet,3,Spain,
Lavandula stoechas,Megachile pyrenaica,pollination,EuPPollNet,2,Spain,
Sonchus tenerrimus,Panurgus calcaratus,pollination,EuPPollNet,23,Spain,
Sonchus bulbosus,Oedemera flavipes,pollination,EuPPollNet,5,Spain,
Convolvulus althaeoides,Oedemera lurida,pollination,EuPPollNet,2,Spain,
Lavandula stoechas,Anthidium septemspinosum,pollination,EuPPollNet,1,Spain,
Lavandula stoechas,Halictus rubicundus,pollination,EuPPollNet,3,Spain,
Lobularia maritima,Rhodanthidium sticticum,pollination,EuPPollNet,1,Spain,
Lobularia maritima,Oedemera flavipes,pollination,EuPPollNet,1,Spain,
Lathyrus clymenum,Rhodanthidium sticticum,pollination,EuPPollNet,4,Spain,
Thymelaea hirsuta,Apis mellifera,pollination,EuPPollNet,6,Spain,
Thymelaea hirsuta,Polistes gallicus,pollination,EuPPollNet,4,Spain,
Thymelaea hirsuta,Rhodanthidium sticticum,pollination,EuPPollNet,1,Spain,
Thymelaea hirsuta,Andrena agilissima,pollination,EuPPollNet,1,Spain,
Sonchus tenerrimus,Mediimorda bipunctata,pollination,EuPPollNet,2,Spain,
Urospermum picroides,Helorus ruficornis,pollination,EuPPollNet,1,Spain,
Sonchus tenerrimus,Andrena senecionis,pollination,EuPPollNet,11,Spain,
Sonchus tenerrimus,Andrena colletiformis,pollination,EuPPollNet,2,Spain,
Urospermum picroides,Oxythyrea funesta,pollination,EuPPollNet,1,Spain,
Urospermum picroides,Psilothrix viridicoerulea,pollination,EuPPollNet,1,Spain,
Sonchus bulbosus,Seladonia gemmea,pollination,EuPPollNet,1,Spain,
Euphorbia segetalis,Plagiolepis pygmaea,pollination,EuPPollNet,1,Spain,
Carpobrotus acinaciformis,Rhodanthidium sticticum,pollination,EuPPollNet,5,Spain,
Sonchus bulbosus,Lasioglossum pauxillum,pollination,EuPPollNet,1,Spain,
Sonchus tenerrimus,Oedemera flavipes,pollination,EuPPollNet,4,Spain,
Carpobrotus acinaciformis,Oxythyrea funesta,pollination,EuPPollNet,20,Spain,
Carpobrotus acinaciformis,Psilothrix viridicoerulea,pollination,EuPPollNet,22,Spain,
Lavandula stoechas,Callophrys rubi,pollination,EuPPollNet,2,Spain,
Sonchus tenerrimus,Nomada merceti,pollination,EuPPollNet,2,Spain,
Sonchus tenerrimus,Andrena cinerea,pollination,EuPPollNet,2,Spain,
Sonchus tenerrimus,Hylaeus gredleri,pollination,EuPPollNet,2,Spain,
Sonchus bulbosus,Mediimorda bipunctata,pollination,EuPPollNet,1,Spain,
Carpobrotus acinaciformis,Oedemera lurida,pollination,EuPPollNet,21,Spain,
Sonchus bulbosus,Nomada fallax,pollination,EuPPollNet,1,Spain,
Carpobrotus acinaciformis,Apis mellifera,pollination,EuPPollNet,7,Spain,
Sonchus tenerrimus,Andrena taraxaci,pollination,EuPPollNet,13,Spain,
Carpobrotus acinaciformis,Andrena nigroaenea,pollination,EuPPollNet,3,Spain,
Carpobrotus acinaciformis,Plagiolepis pygmaea,pollination,EuPPollNet,2,Spain,
Carpobrotus acinaciformis,Mediimorda bipunctata,pollination,EuPPollNet,1,Spain,
Carpobrotus acinaciformis,Osmia aurulenta,pollination,EuPPollNet,3,Spain,
Urospermum picroides,Mordellistena pumila,pollination,EuPPollNet,6,Spain,
Urospermum picroides,Andrena senecionis,pollination,EuPPollNet,2,Spain,
Convolvulus althaeoides,Plagiolepis pygmaea,pollination,EuPPollNet,2,Spain,
Carpobrotus acinaciformis,Oedemera nobilis,pollination,EuPPollNet,2,Spain,
Carpobrotus acinaciformis,Bombus terrestris,pollination,EuPPollNet,14,Spain,
Convolvulus althaeoides,Oedemera flavipes,pollination,EuPPollNet,10,Spain,
Sonchus bulbosus,Mordellistena pumila,pollination,EuPPollNet,1,Spain,
Lobularia maritima,Andrena fabrella,pollination,EuPPollNet,1,Spain,
Thymelaea hirsuta,Megachile pyrenaica,pollination,EuPPollNet,1,Spain,
Carpobrotus acinaciformis,Halictus rubicundus,pollination,EuPPollNet,1,Spain,
Carpobrotus acinaciformis,Oedemera flavipes,pollination,EuPPollNet,3,Spain,
Carpobrotus acinaciformis,Mordellistena pumila,pollination,EuPPollNet,7,Spain,
Lobularia maritima,Oedemera lurida,pollination,EuPPollNet,1,Spain,
Thymelaea hirsuta,Bombus terrestris,pollination,EuPPollNet,1,Spain,
Thymelaea hirsuta,Oxythyrea funesta,pollination,EuPPollNet,1,Spain,
Sonchus tenerrimus,Apis mellifera,pollination,EuPPollNet,9,Spain,
Sonchus tenerrimus,Bombus terrestris,pollination,EuPPollNet,1,Spain,
Daucus carota,Seladonia gemmea,pollination,EuPPollNet,30,Spain,
Echium sabulicola,Lasioglossum pauxillum,pollination,EuPPollNet,1,Spain,
Convolvulus althaeoides,Mordellistena pumila,pollination,EuPPollNet,10,Spain,
Daucus carota,Apis mellifera,pollination,EuPPollNet,22,Spain,
Daucus carota,Mordellistena pumila,pollination,EuPPollNet,44,Spain,
Daucus carota,Hylaeus variegatus,pollination,EuPPollNet,6,Spain,
Sonchus tenerrimus,Lasioglossum pauxillum,pollination,EuPPollNet,6,Spain,
Sonchus tenerrimus,Scolia hirta,pollination,EuPPollNet,1,Spain,
Echium sabulicola,Ceratina cucurbitina,pollination,EuPPollNet,4,Spain,
Convolvulus althaeoides,Lasioglossum pauxillum,pollination,EuPPollNet,1,Spain,
Daucus carota,Oedemera lurida,pollination,EuPPollNet,3,Spain,
Eryngium campestre,Mordellistena pumila,pollination,EuPPollNet,7,Spain,
Daucus carota,Mediimorda bipunctata,pollination,EuPPollNet,19,Spain,
Petrosedum sediforme,Seladonia gemmea,pollination,EuPPollNet,6,Spain,
Daucus carota,Lasioglossum pauxillum,pollination,EuPPollNet,15,Spain,
Petrosedum sediforme,Halictus pyrenaeus,pollination,EuPPollNet,1,Spain,
Sonchus tenerrimus,Seladonia gemmea,pollination,EuPPollNet,2,Spain,
Sonchus tenerrimus,Lasioglossum bimaculatum,pollination,EuPPollNet,1,Spain,
Convolvulus althaeoides,Seladonia gemmea,pollination,EuPPollNet,1,Spain,
Opuntia stricta,Scolia hirta,pollination,EuPPollNet,2,Spain,
Opuntia stricta,Camponotus aethiops,pollination,EuPPollNet,7,Spain,
Opuntia stricta,Apis mellifera,pollination,EuPPollNet,33,Spain,
Opuntia stricta,Bombus terrestris,pollination,EuPPollNet,18,Spain,
Sonchus tenerrimus,Halictus pyrenaeus,pollination,EuPPollNet,4,Spain,
Sonchus tenerrimus,Oedemera barbara,pollination,EuPPollNet,5,Spain,
Urospermum picroides,Lasioglossum bimaculatum,pollination,EuPPollNet,1,Spain,
Urospermum picroides,Panurgus calcaratus,pollination,EuPPollNet,8,Spain,
Sonchus tenerrimus,Hylaeus nigritus,pollination,EuPPollNet,1,Spain,
Daucus carota,Oedemera flavipes,pollination,EuPPollNet,145,Spain,
Eryngium campestre,Lasioglossum pauxillum,pollination,EuPPollNet,15,Spain,
Opuntia stricta,Rhodanthidium sticticum,pollination,EuPPollNet,4,Spain,
Opuntia stricta,Halictus pyrenaeus,pollination,EuPPollNet,4,Spain,
