plant_name,insect_name,interaction_type,source_db,n_obs,geo,year_range
Olea europaea,Abgrallaspis cyanophylli,suceur_seve,EHD,1,EU,
Corylus avellana,Abraxas grossulariata,folivorie,EHD,1,EU,
Euonymus europaeus,Abraxas grossulariata,folivorie,EHD,1,EU,
Prunus padus,Abraxas grossulariata,folivorie,EHD,1,EU,
Prunus spinosa,Abraxas grossulariata,folivorie,EHD,1,EU,
Salix caprea,Abraxas grossulariata,folivorie,EHD,1,EU,
Corylus avellana,Abraxas sylvata,folivorie,EHD,1,EU,
Fagus sylvatica,Abraxas sylvata,folivorie,EHD,1,EU,
Prunus padus,Abraxas sylvata,folivorie,EHD,1,EU,
Ulmus glabra,Abraxas sylvata,folivorie,EHD,1,EU,
Populus tremula,Acalyptus carpini,folivorie,EHD,1,EU,
Salix alba,Acalyptus carpini,folivorie,EHD,1,EU,
Salix caprea,Acalyptus carpini,folivorie,EHD,1,EU,
Salix caprea,Acalyptus sericeus,folivorie,EHD,1,EU,
Betula pendula,Acanalonia conica,suceur_seve,EHD,1,EU,
Cornus sanguinea,Acanalonia conica,suceur_seve,EHD,1,EU,
Corylus avellana,Acanalonia conica,suceur_seve,EHD,1,EU,
Quercus petraea,Acanthochermes quercus,suceur_seve,EHD,1,EU,
Quercus pyrenaica,Acanthochermes quercus,suceur_seve,EHD,1,EU,
Quercus robur,Acanthochermes quercus,suceur_seve,EHD,1,EU,
Pinus brutia,Acanthocinus aedilis,xylophage,EHD,1,EU,
Pinus halepensis,Acanthocinus aedilis,xylophage,EHD,1,EU,
Picea abies,Acanthocinus griseus,xylophage,EHD,1,EU,
Pinus sylvestris,Acanthocinus griseus,xylophage,EHD,1,EU,
Acer campestre,Acanthococcus aceris,suceur_seve,EHD,1,EU,
Acer platanoides,Acanthococcus aceris,suceur_seve,EHD,1,EU,
Acer pseudoplatanus,Acanthococcus aceris,suceur_seve,EHD,1,EU,
Aesculus hippocastanum,Acanthococcus aceris,suceur_seve,EHD,1,EU,
Carpinus betulus,Acanthococcus aceris,suceur_seve,EHD,1,EU,
Fagus sylvatica,Acanthococcus aceris,suceur_seve,EHD,1,EU,
Quercus coccifera,Acanthococcus aceris,suceur_seve,EHD,1,EU,
Quercus pubescens,Acanthococcus aceris,suceur_seve,EHD,1,EU,
Quercus robur,Acanthococcus aceris,suceur_seve,EHD,1,EU,
Ulmus laevis,Acanthococcus aceris,suceur_seve,EHD,1,EU,
Carpinus betulus,Acanthococcus macedoniensis,suceur_seve,EHD,1,EU,
Quercus ilex,Acanthococcus macedoniensis,suceur_seve,EHD,1,EU,
Quercus coccifera,Acanthococcus melnikensis,suceur_seve,EHD,1,EU,
Quercus pubescens,Acanthococcus melnikensis,suceur_seve,EHD,1,EU,
Aesculus hippocastanum,Acanthococcus roboris,suceur_seve,EHD,1,EU,
Castanea sativa,Acanthococcus roboris,suceur_seve,EHD,1,EU,
Quercus cerris,Acanthococcus roboris,suceur_seve,EHD,1,EU,
Quercus coccifera,Acanthococcus roboris,suceur_seve,EHD,1,EU,
Quercus petraea,Acanthococcus roboris,suceur_seve,EHD,1,EU,
Quercus pubescens,Acanthococcus roboris,suceur_seve,EHD,1,EU,
Quercus robur,Acanthococcus roboris,suceur_seve,EHD,1,EU,
Castanea sativa,Acanthococcus rosannae,suceur_seve,EHD,1,EU,
Pinus cembra,Acantholyda erythrocephala,folivorie,EHD,1,EU,
Pinus mugo,Acantholyda erythrocephala,folivorie,EHD,1,EU,
Pinus nigra,Acantholyda erythrocephala,folivorie,EHD,1,EU,
Pinus sylvestris,Acantholyda erythrocephala,folivorie,EHD,1,EU,
Pinus mugo,Acantholyda flaviceps,folivorie,EHD,1,EU,
Pinus sylvestris,Acantholyda flaviceps,folivorie,EHD,1,EU,
Pinus brutia,Acantholyda hieroglyphica,folivorie,EHD,1,EU,
Pinus halepensis,Acantholyda hieroglyphica,folivorie,EHD,1,EU,
Pinus mugo,Acantholyda hieroglyphica,folivorie,EHD,1,EU,
Pinus sylvestris,Acantholyda hieroglyphica,folivorie,EHD,1,EU,
Larix decidua,Acantholyda laricis,folivorie,EHD,1,EU,
Pinus nigra,Acantholyda posticalis,folivorie,EHD,1,EU,
Pinus sylvestris,Acantholyda posticalis,folivorie,EHD,1,EU,
Populus tremula,Acanthosoma haemorrhoidale,suceur_seve,EHD,1,EU,
Sorbus aria,Acanthosoma haemorrhoidale,suceur_seve,EHD,1,EU,
Sorbus aucuparia,Acanthosoma haemorrhoidale,suceur_seve,EHD,1,EU,
Corylus avellana,Acanthosoma haemorrhoidale,suceur_seve,EHD,1,EU,
Acer pseudoplatanus,Acasis viretata,folivorie,EHD,1,EU,
Cornus sanguinea,Acasis viretata,folivorie,EHD,1,EU,
Frangula alnus,Acasis viretata,folivorie,EHD,1,EU,
Ilex aquifolium,Acasis viretata,folivorie,EHD,1,EU,
Sorbus aucuparia,Acasis viretata,folivorie,EHD,1,EU,
Acer platanoides,Acericerus heydenii,suceur_seve,EHD,1,EU,
Acer platanoides,Acericerus vittifrons,suceur_seve,EHD,1,EU,
Cornus mas,Acherontia atropos,folivorie,EHD,1,EU,
Euonymus europaeus,Acherontia atropos,folivorie,EHD,1,EU,
Fraxinus excelsior,Acherontia atropos,folivorie,EHD,1,EU,
Prunus avium,Acherontia atropos,folivorie,EHD,1,EU,
Betula pendula,Achlya flavicornis,folivorie,EHD,1,EU,
Betula pubescens,Achlya flavicornis,folivorie,EHD,1,EU,
Carpinus betulus,Acleris cristana,folivorie,EHD,1,EU,
Prunus spinosa,Acleris cristana,folivorie,EHD,1,EU,
Alnus glutinosa,Acleris emargana,folivorie,EHD,1,EU,
Corylus avellana,Acleris emargana,folivorie,EHD,1,EU,
Fagus sylvatica,Acleris ferrugana,folivorie,EHD,1,EU,
Salix caprea,Acleris ferrugana,folivorie,EHD,1,EU,
Prunus spinosa,Acleris hastiana,folivorie,EHD,1,EU,
Salix caprea,Acleris hastiana,folivorie,EHD,1,EU,
Populus alba,Acleris hastiana,folivorie,EHD,1,EU,
Ulmus minor,Acleris kochiella,folivorie,EHD,1,EU,
Alnus glutinosa,Acleris notana,folivorie,EHD,1,EU,
Populus tremula,Acleris obtusana,folivorie,EHD,1,EU,
Prunus spinosa,Acleris permutana,folivorie,EHD,1,EU,
Quercus petraea,Acleris quercinana,folivorie,EHD,1,EU,
Quercus robur,Acleris quercinana,folivorie,EHD,1,EU,
Prunus avium,Acleris rhombana,folivorie,EHD,1,EU,
Populus tremula,Acleris roscidana,folivorie,EHD,1,EU,
Salix caprea,Acleris rufana,folivorie,EHD,1,EU,
Populus alba,Acleris rufana,folivorie,EHD,1,EU,
Acer campestre,Acleris sparsana,folivorie,EHD,1,EU,
Acer pseudoplatanus,Acleris sparsana,folivorie,EHD,1,EU,
Carpinus betulus,Acleris sparsana,folivorie,EHD,1,EU,
Fagus sylvatica,Acleris sparsana,folivorie,EHD,1,EU,
Alnus glutinosa,Acleris umbrana,folivorie,EHD,1,EU,
Carpinus betulus,Acleris umbrana,folivorie,EHD,1,EU,
Prunus padus,Acleris umbrana,folivorie,EHD,1,EU,
Prunus spinosa,Acleris umbrana,folivorie,EHD,1,EU,
Sorbus aucuparia,Acleris variegana,folivorie,EHD,1,EU,
Pinus mugo,Acmaeops marginatus,folivorie,EHD,1,EU,
Picea abies,Acmaeops septentrionis,folivorie,EHD,1,EU,
Pinus sylvestris,Acmaeops smaragdulus,folivorie,EHD,1,EU,
Populus tremula,Acossus terebra,xylophage,EHD,1,EU,
Fraxinus excelsior,Acrantus vittatus,xylophage,EHD,1,EU,
Ulmus glabra,Acrantus vittatus,xylophage,EHD,1,EU,
Ulmus laevis,Acrantus vittatus,xylophage,EHD,1,EU,
Ulmus minor,Acrantus vittatus,xylophage,EHD,1,EU,
Quercus petraea,Acrobasis consociella,folivorie,EHD,1,EU,
Quercus robur,Acrobasis consociella,folivorie,EHD,1,EU,
Prunus spinosa,Acrobasis marmorea,folivorie,EHD,1,EU,
Quercus petraea,Acrobasis repandana,folivorie,EHD,1,EU,
Quercus robur,Acrobasis repandana,folivorie,EHD,1,EU,
Quercus petraea,Acrobasis sodalella,folivorie,EHD,1,EU,
Quercus robur,Acrobasis sodalella,folivorie,EHD,1,EU,
Prunus spinosa,Acrobasis suavella,folivorie,EHD,1,EU,
Quercus cerris,Acrobasis tumidana,folivorie,EHD,1,EU,
Quercus petraea,Acrobasis tumidana,folivorie,EHD,1,EU,
Quercus robur,Acrobasis tumidana,folivorie,EHD,1,EU,
Quercus ilex,Acrocercops brongniardella,folivorie,EHD,1,EU,
Quercus petraea,Acrocercops brongniardella,folivorie,EHD,1,EU,
Quercus robur,Acrocercops brongniardella,folivorie,EHD,1,EU,
Aesculus hippocastanum,Acronicta aceris,folivorie,EHD,1,EU,
