plant_name,insect_name,interaction_type,source_db,n_obs,geo,year_range
Quercus ilex,Apis mellifera,pollination,GloBI,6,,
Quercus dentata,Unidentified sp1,pollination,GloBI,4,,
Quercus dentata,Oxycetonia jucunda,pollination,GloBI,4,,
Quercus dentata,Hoplia moerens,pollination,GloBI,4,,
Quercus dentata,Neope niphonica,pollination,GloBI,6,,
Quercus dentata,Camponotus japonicus,pollination,GloBI,6,,
Quercus dentata,Syrphus torvus,pollination,GloBI,6,,
Quercus suber,Apis mellifera,pollination,GloBI,6,,
Quercus agrifolia,Andrena hypoleuca,pollination,GloBI,6,,
Quercus coccifera,Apis mellifera,pollination,GloBI,4,,
Quercus cerris,Lasioglossum sabulosum,pollination,GloBI,6,,
Quercus cerris,Nomada mutica,pollination,GloBI,6,,
Quercus cerris,Osmia bicornis,pollination,GloBI,6,,
Quercus cerris,Lasioglossum pallens,pollination,GloBI,4,,
Quercus cerris,Ptilodon capucina,pollination,GloBI,6,,
Quercus cerris,Lasioglossum pygmaeum,pollination,GloBI,6,,
Quercus cerris,Lasioglossum marginatum,pollination,GloBI,6,,
Quercus cerris,Bombus terrestris,pollination,GloBI,6,,
Quercus cerris,Chrysoperla carnea,pollination,GloBI,6,,
Quercus cerris,Andrena ferox,pollination,GloBI,6,,
Quercus robur,Lasioglossum sabulosum,pollination,GloBI,6,,
Quercus robur,Nomada mutica,pollination,GloBI,6,,
Quercus robur,Osmia bicornis,pollination,GloBI,6,,
Quercus robur,Diplodoma laichartingella,pollination,GloBI,6,,
Quercus robur,Lasioglossum pallens,pollination,GloBI,4,,
Quercus robur,Lasioglossum pygmaeum,pollination,GloBI,6,,
Quercus robur,Osmia cornuta,pollination,GloBI,6,,
Quercus robur,Chrysoperla carnea,pollination,GloBI,6,,
Quercus robur,Lasioglossum marginatum,pollination,GloBI,6,,
Quercus robur,Bombus terrestris,pollination,GloBI,6,,
Quercus robur,Andrena ferox,pollination,GloBI,6,,
Quercus robur,Hylaeus communis,pollination,GloBI,6,,
Quercus rubra,Lasioglossum sabulosum,pollination,GloBI,6,,
Quercus rubra,Nomada mutica,pollination,GloBI,6,,
Quercus rubra,Osmia bicornis,pollination,GloBI,6,,
Quercus rubra,Diplodoma laichartingella,pollination,GloBI,6,,
Quercus rubra,Lasioglossum pallens,pollination,GloBI,4,,
Quercus rubra,Ptilodon capucina,pollination,GloBI,6,,
Quercus rubra,Lasioglossum marginatum,pollination,GloBI,6,,
Quercus rubra,Bombus terrestris,pollination,GloBI,6,,
Quercus rubra,Lasioglossum pygmaeum,pollination,GloBI,6,,
Quercus rubra,Chrysoperla carnea,pollination,GloBI,6,,
Quercus rubra,Andrena ferox,pollination,GloBI,6,,
Quercus palustris,Lasioglossum sabulosum,pollination,GloBI,6,,
Quercus palustris,Nomada mutica,pollination,GloBI,6,,
Quercus palustris,Osmia bicornis,pollination,GloBI,6,,
Quercus palustris,Diplodoma laichartingella,pollination,GloBI,6,,
