plant_name,insect_name,interaction_type,source_db,n_obs,geo,year_range
Parnassia palustris,Limnophyes ninae,pollination,Mangal,1,EU,
Dryas octopetala,Phaonia alpicola,pollination,Mangal,1,EU,
Potentilla crantzii,Phaonia alpicola,pollination,Mangal,1,EU,
Silene acaulis,Phaonia alpicola,pollination,Mangal,1,EU,
Cerastium alpinum,Phaonia alpicola,pollination,Mangal,1,EU,
Polygonum viviparum,Phaonia alpicola,pollination,Mangal,1,EU,
Saxifraga oppositifolia,Phaonia alpicola,pollination,Mangal,1,EU,
Trollius europaeus,Phaonia alpicola,pollination,Mangal,1,EU,
Pinguicula alpina,Phaonia alpicola,pollination,Mangal,1,EU,
Rhodiola rosea,Phaonia alpicola,pollination,Mangal,1,EU,
Rhododendron lapponicum,Phaonia alpicola,pollination,Mangal,1,EU,
Dryas octopetala,Limnophyes ninae,pollination,Mangal,1,EU,
Diapensia lapponica,Limnophyes ninae,pollination,Mangal,1,EU,
Saxifraga aizoides,Limnophyes ninae,pollination,Mangal,1,EU,
Potentilla crantzii,Limnophyes ninae,pollination,Mangal,1,EU,
Cerastium alpinum,Limnophyes ninae,pollination,Mangal,1,EU,
Polygonum viviparum,Limnophyes ninae,pollination,Mangal,1,EU,
Trollius europaeus,Limnophyes ninae,pollination,Mangal,1,EU,
Arabis alpina,Limnophyes ninae,pollination,Mangal,1,EU,
Dryas octopetala,Megaselia diversa,pollination,Mangal,1,EU,
Potentilla crantzii,Megaselia diversa,pollination,Mangal,1,EU,
Silene acaulis,Megaselia diversa,pollination,Mangal,1,EU,
Cerastium alpinum,Megaselia diversa,pollination,Mangal,1,EU,
Polygonum viviparum,Megaselia diversa,pollination,Mangal,1,EU,
Viola biflora,Megaselia diversa,pollination,Mangal,1,EU,
Pinguicula alpina,Megaselia diversa,pollination,Mangal,1,EU,
Taraxacum officinale,Megaselia diversa,pollination,Mangal,1,EU,
Arabis alpina,Megaselia diversa,pollination,Mangal,1,EU,
Saxifraga aizoides,Megaselia sp1,pollination,Mangal,1,EU,
Potentilla crantzii,Megaselia sp1,pollination,Mangal,1,EU,
Silene acaulis,Megaselia sp1,pollination,Mangal,1,EU,
Cerastium alpinum,Megaselia sp1,pollination,Mangal,1,EU,
Polygonum viviparum,Megaselia sp1,pollination,Mangal,1,EU,
Salix reticulata,Megaselia sp1,pollination,Mangal,1,EU,
Viola biflora,Megaselia sp1,pollination,Mangal,1,EU,
Pinguicula alpina,Megaselia sp1,pollination,Mangal,1,EU,
Cassiope hypnoides,Megaselia sp1,pollination,Mangal,1,EU,
Potentilla crantzii,Smittia sp1,pollination,Mangal,1,EU,
Silene acaulis,Smittia sp1,pollination,Mangal,1,EU,
Salix lanata,Smittia sp1,pollination,Mangal,1,EU,
Salix reticulata,Smittia sp1,pollination,Mangal,1,EU,
Viola biflora,Smittia sp1,pollination,Mangal,1,EU,
Pinguicula alpina,Smittia sp1,pollination,Mangal,1,EU,
Antennaria alpina,Smittia sp1,pollination,Mangal,1,EU,
Cassiope tetragona,Smittia sp1,pollination,Mangal,1,EU,
