plant,insect,group
"Daucus carota","Andrena alfkenella","Bee"
"Oenanthe crocata","Andrena alfkenella","Bee"
"Oenanthe pimpinelloides","Andrena alfkenella","Bee"
"Oenanthe silaifolia","Andrena alfkenella","Bee"
"Bellis perennis","Andrena angustior","Bee"
"Ficaria verna","Andrena angustior","Bee"
"Potentilla erecta","Andrena angustior","Bee"
"Ranunculus acris","Andrena angustior","Bee"
"Ranunculus aquatilis","Andrena angustior","Bee"
"Ranunculus bulbosus","Andrena angustior","Bee"
"Ranunculus flammula","Andrena angustior","Bee"
"Ranunculus lingua","Andrena angustior","Bee"
"Ranunculus repens","Andrena angustior","Bee"
"Salix alba","Andrena angustior","Bee"
"Salix aurita","Andrena angustior","Bee"
"Salix caprea","Andrena angustior","Bee"
"Salix cinerea","Andrena angustior","Bee"
"Salix fragilis","Andrena angustior","Bee"
"Salix pentandra","Andrena angustior","Bee"
"Salix repens","Andrena angustior","Bee"
"Salix viminalis","Andrena angustior","Bee"
"Silene dioica","Andrena angustior","Bee"
"Smyrnium olusatrum","Andrena angustior","Bee"
"Taraxacum","Andrena angustior","Bee"
"Salix alba","Andrena apicata","Bee"
"Salix aurita","Andrena apicata","Bee"
"Salix caprea","Andrena apicata","Bee"
"Salix cinerea","Andrena apicata","Bee"
"Salix fragilis","Andrena apicata","Bee"
"Salix pentandra","Andrena apicata","Bee"
"Salix repens","Andrena apicata","Bee"
"Salix viminalis","Andrena apicata","Bee"
"Calluna vulgaris","Andrena argentata","Bee"
"Malva moschata","Andrena argentata","Bee"
"Acer pseudoplatanus","Andrena barbilabris","Bee"
"Angelica sylvestris","Andrena barbilabris","Bee"
"Armeria maritima","Andrena barbilabris","Bee"
"Bellis perennis","Andrena barbilabris","Bee"
"Crataegus monogyna","Andrena barbilabris","Bee"
"Heracleum sphondylium","Andrena barbilabris","Bee"
"Potentilla anserina","Andrena barbilabris","Bee"
"Rubus fruticosus","Andrena barbilabris","Bee"
"Smyrnium olusatrum","Andrena barbilabris","Bee"
"Taraxacum","Andrena barbilabris","Bee"
"Alliaria petiolata","Andrena bicolor","Bee"
"Bellis perennis","Andrena bicolor","Bee"
"Brassica napus","Andrena bicolor","Bee"
"Brassica nigra","Andrena bicolor","Bee"
"Brassica oleracea","Andrena bicolor","Bee"
"Brassica rapa","Andrena bicolor","Bee"
