plant_name,insect_name,interaction_type,source_db,n_obs,geo,year_range
Ctenophthalmus breviatus,Allactaga major,pollination,WebOfLife,1,,
Mesopsylla hebes,Allactaga major,pollination,WebOfLife,8,,
Ctenophthalmus breviatus,Allocricetulus eversmanni,pollination,WebOfLife,3,,
Amphipsylla dumalis,Ellobius talpinus,pollination,WebOfLife,4,,
Amphipsylla prima,Lagurus lagurus,pollination,WebOfLife,2,,
Ctenophthalmus breviatus,Lagurus lagurus,pollination,WebOfLife,2,,
Oropsylla silantiewi,Marmota bobak,pollination,WebOfLife,2,,
Ctenophthalmus breviatus,Microtus gregalis,pollination,WebOfLife,3,,
Ctenophthalmus breviatus,Spermophilus major,pollination,WebOfLife,2,,
Neopsylla mana,Microtus gregalis,pollination,WebOfLife,3,,
Neopsylla mana,Sicista subtilis,pollination,WebOfLife,1,,
Neopsylla mana,Apodemus speciosus,pollination,WebOfLife,1,,
Neopsylla mana,Clethrionomys rufocanus,pollination,WebOfLife,2,,
Neopsylla mana,Sorex arcticus,pollination,WebOfLife,2,,
Neopsylla mana,Sorex daphaenodon,pollination,WebOfLife,1,,
Neopsylla mana,Sorex isodon,pollination,WebOfLife,1,,
Amalaraeus ioffi,Clethrionomys rufocanus,pollination,WebOfLife,2,,
Amphipsylla marikovskii,Clethrionomys rufocanus,pollination,WebOfLife,4,,
Catallagia dacenkoi,Clethrionomys rufocanus,pollination,WebOfLife,8,,
Catallagia ioffi,Clethrionomys rufocanus,pollination,WebOfLife,6,,
Catallagia striata,Clethrionomys rufocanus,pollination,WebOfLife,2,,
Hystrichopsylla microti,Clethrionomys rufocanus,pollination,WebOfLife,3,,
Megabothris advenarius,Clethrionomys rufocanus,pollination,WebOfLife,5,,
Megabothris bispinosa,Clethrionomys rufocanus,pollination,WebOfLife,2,,
Neopsylla acanthina,Clethrionomys rufocanus,pollination,WebOfLife,3,,
Stenoponia montana,Clethrionomys rufocanus,pollination,WebOfLife,2,,
Catallagia ioffi,Tamias sibiricus,pollination,WebOfLife,5,,
Ctenophthalmus pisticus,Tamias sibiricus,pollination,WebOfLife,6,,
Hystrichopsylla microti,Tamias sibiricus,pollination,WebOfLife,2,,
Megabothris advenarius,Tamias sibiricus,pollination,WebOfLife,4,,
Neopsylla acanthina,Tamias sibiricus,pollination,WebOfLife,5,,
Ctenophthalmus congeneroides,Apodemus peninsulae,pollination,WebOfLife,4,,
Ctenophthalmus pisticus,Apodemus peninsulae,pollination,WebOfLife,3,,
Hystrichopsylla microti,Apodemus peninsulae,pollination,WebOfLife,2,,
Megabothris advenarius,Apodemus peninsulae,pollination,WebOfLife,3,,
Neopsylla acanthina,Apodemus peninsulae,pollination,WebOfLife,4,,
Ctenophthalmus congeneroides,Microtus maximowiczii,pollination,WebOfLife,2,,
Megabothris advenarius,Microtus maximowiczii,pollination,WebOfLife,2,,
Amalaraeus dissimilis,Clethrionomys rufocanus,pollination,WebOfLife,1,,
Ctenophthalmus congeneroides,Clethrionomys rufocanus,pollination,WebOfLife,1,,
Ctenophthalmus pisticus,Clethrionomys rufocanus,pollination,WebOfLife,1,,
Megabothris asio,Clethrionomys rufocanus,pollination,WebOfLife,1,,
Pectinoctenus pectiniceps,Clethrionomys rufocanus,pollination,WebOfLife,1,,
Rhadinopsylla pseudodahurica,Clethrionomys rufocanus,pollination,WebOfLife,3,,
Ctenophthalmus congeneroides,Tamias sibiricus,pollination,WebOfLife,1,,
Amalaraeus dissimilis,Apodemus peninsulae,pollination,WebOfLife,1,,
Catallagia dacenkoi,Apodemus peninsulae,pollination,WebOfLife,1,,
Catallagia ioffi,Apodemus peninsulae,pollination,WebOfLife,1,,
Megabothris asio,Apodemus peninsulae,pollination,WebOfLife,1,,
Pectinoctenus pectiniceps,Apodemus peninsulae,pollination,WebOfLife,2,,
Amalaraeus dissimilis,Microtus evoronensis,pollination,WebOfLife,1,,
Ctenophthalmus pisticus,Microtus evoronensis,pollination,WebOfLife,1,,
Hystrichopsylla microti,Microtus evoronensis,pollination,WebOfLife,1,,
Megabothris advenarius,Microtus evoronensis,pollination,WebOfLife,1,,
Megabothris asio,Microtus evoronensis,pollination,WebOfLife,1,,
Pectinoctenus pectiniceps,Microtus evoronensis,pollination,WebOfLife,1,,
Amphipsylla primaris,Microtus gregalis,pollination,WebOfLife,3,,
Catallagia ioffi,Microtus gregalis,pollination,WebOfLife,1,,
Frontopsylla luculenta,Microtus gregalis,pollination,WebOfLife,1,,
Megabothris advenarius,Microtus gregalis,pollination,WebOfLife,1,,
Megabothris calcarifer,Microtus gregalis,pollination,WebOfLife,2,,
Megabothris calcarifer,Tamias sibiricus,pollination,WebOfLife,2,,
Frontopsylla luculenta,Spermophilus undulatus,pollination,WebOfLife,2,,
Oropsylla alaskensis,Spermophilus undulatus,pollination,WebOfLife,5,,
Leptopsylla nana,Alticola argentatus,pollination,WebOfLife,4,,
Amphipsylla dumalis,Ellobius tancrei,pollination,WebOfLife,4,,
Ctenophthalmus dux,Ellobius tancrei,pollination,WebOfLife,1,,
Citellophilus lebedewi,Marmota caudata,pollination,WebOfLife,4,,
Oropsylla silantiewi,Marmota caudata,pollination,WebOfLife,4,,
Rhadinopsylla li,Marmota caudata,pollination,WebOfLife,4,,
Frontopsylla elatoides,Spermophilus undulatus,pollination,WebOfLife,4,,
Frontopsylla protera,Spermophilus undulatus,pollination,WebOfLife,1,,
Neopsylla mana,Spermophilus undulatus,pollination,WebOfLife,4,,
Neopsylla teratura,Spermophilus undulatus,pollination,WebOfLife,1,,
Amphipsylla sibirica,Clethrionomys centralis,pollination,WebOfLife,3,,
Frontopsylla elatoides,Clethrionomys centralis,pollination,WebOfLife,1,,
Frontopsylla ornata,Clethrionomys centralis,pollination,WebOfLife,3,,
Frontopsylla protera,Clethrionomys centralis,pollination,WebOfLife,1,,
Neopsylla mana,Clethrionomys centralis,pollination,WebOfLife,3,,
Neopsylla teratura,Clethrionomys centralis,pollination,WebOfLife,2,,
Pectinoctenus nemorosa,Clethrionomys centralis,pollination,WebOfLife,3,,
Oropsylla silantiewi,Marmota baibacina,pollination,WebOfLife,3,,
Frontopsylla protera,Sicista tianshanica,pollination,WebOfLife,2,,
Neopsylla mana,Sicista tianshanica,pollination,WebOfLife,2,,
Pectinoctenus nemorosa,Sicista tianshanica,pollination,WebOfLife,2,,
Neopsylla mana,Spermophilus erythrogenys,pollination,WebOfLife,1,,
Ctenophthalmus arvalis,Allactaga major,pollination,WebOfLife,2,,
Ctenophthalmus arvalis,Ellobius talpinus,pollination,WebOfLife,1,,
Ctenophthalmus dux,Ellobius talpinus,pollination,WebOfLife,1,,
Xenopsylla magdalinae,Ellobius talpinus,pollination,WebOfLife,1,,
Ctenophthalmus arvalis,Microtus gregalis,pollination,WebOfLife,2,,
Mesopsylla eucta,Allactaga severtzovi,pollination,WebOfLife,3,,
Neopsylla teratura,Allactaga severtzovi,pollination,WebOfLife,1,,
Ophthalmopsylla volgensis,Allactaga severtzovi,pollination,WebOfLife,1,,
Mesopsylla eucta,Allactaga sibirica,pollination,WebOfLife,1,,
Mesopsylla hebes,Allactaga sibirica,pollination,WebOfLife,1,,
Mesopsylla lenis,Allactaga sibirica,pollination,WebOfLife,1,,
Mesopsylla tuschkan,Allactaga sibirica,pollination,WebOfLife,1,,
Ophthalmopsylla volgensis,Allactaga sibirica,pollination,WebOfLife,2,,
Mesopsylla tuschkan,Dipus sagitta,pollination,WebOfLife,1,,
Xenopsylla conformis,Dipus sagitta,pollination,WebOfLife,3,,
Ctenophthalmus arvalis,Meriones meridianus,pollination,WebOfLife,1,,
Echidnophaga oschanini,Meriones meridianus,pollination,WebOfLife,3,,
Mesopsylla eucta,Meriones meridianus,pollination,WebOfLife,2,,
Nosopsyllus laeviceps,Meriones meridianus,pollination,WebOfLife,6,,
Xenopsylla conformis,Meriones meridianus,pollination,WebOfLife,6,,
Citellophilus ullus,Meriones tamariscinus,pollination,WebOfLife,1,,
Ctenophthalmus arvalis,Meriones tamariscinus,pollination,WebOfLife,1,,
Echidnophaga oschanini,Meriones tamariscinus,pollination,WebOfLife,2,,
Mesopsylla lenis,Meriones tamariscinus,pollination,WebOfLife,2,,
Nosopsyllus fidus,Meriones tamariscinus,pollination,WebOfLife,2,,
