species,category
Abelmoschus manihot,DD
Abelmoschus moschatus,LC
Abies alba,LC
Abies amabilis,LC
Abies balsamea,LC
Abies cephalonica,LC
Abies concolor,LC
Abies grandis,LC
Abies lasiocarpa,LC
Abies magnifica,LC
Abies nordmanniana,LC
Abies pindrow,LC
Abies pinsapo,EN
Abies procera,LC
Acacia angustissima,LC
Acacia aulacocarpa,LC
Acacia auriculiformis,LC
Acacia caven,LC
Acacia cochliacantha,LC
Acacia confusa,LC
Acacia crassa,LC
Acacia dealbata,LC
Acacia dentifera,LC
Acacia disparrima,LC
Acacia falcata,LC
Acacia farnesiana,LC
Acacia greggii,LC
Acacia greggii?,LC
Acacia harpophylla,LC
Acacia karroo,LC
Acacia leiocalyx,LC
Acacia longifolia,LC
Acacia macracantha,LC
Acacia mangium,LC
Acacia mellifera,LC
Acacia negrii,NT
Acacia nilotica,LC
Acacia oswaldii,LC
Acacia polyacantha,LC
Acacia pycnantha,LC
Acacia senegal,LC
Acacia spectabilis,LC
Acacia tortilis,LC
Acacia xanthophlea(Benth.),LC
Acca sellowiana,LC
Acer campestre,LC
Acer carpinifolium,LC
Acer glabrum,LC
Acer japonicum,LC
Acer macrophyllum,LC
Acer mono,LC
Acer monspessulanum,LC
Acer negundo,LC
Acer opalus,LC
Acer palmatum,LC
Acer pensylvanicum,LC
Acer platanoides,LC
Acer pseudoplatanus,LC
Acer rubrum,LC
Acer saccharinum,LC
Acer saccharum,LC
Acer shirasawanum,LC
Acer tataricum,LC
Aceria truncata,LC
Achillea crithmifolia,LC
Achillea millefolium,LC
Achillea ptarmica,LC
Aconitum degenii,LC
Aconitum napellus,LC
Acorus calamus,LC
Acronychia pedunculata,LC
Actinodaphne wightiana,LC
Adenium obesum,LC
Adenocarpus foliolosus,LC
Adesmia radicifolia,LC
Adinandra integerrima,LC
Aeginetia indica,LC
Aegiphila mollis,LC
Aegle marmelos,NT
Aeschynomene indica,LC
Aesculus californica,LC
Aesculus glabra,LC
Aesculus hippocastanum,VU
Aesculus parviflora,LC
Aesculus pavia,LC
Aeshna cyanea,LC
Aeshna mixta,LC
Aetobatus narinari,EN
Afromorus mesozygia,LC
Agarista salicifolia,LC
Agave lechuguilla,LC
Ageratina havanensis,LC
Aglaia lawii,LC
Aglaia spectabilis,LC
Agropyron junceiforme,LC
Agrostis canina,LC
Agrostis stolonifera,LC
Aidia densiflora,LC
Ailanthus altissima,LC
Alangium platanifolium,LC
Albizia chinensis,LC
Albizia coriaria,LC
Albizia falcataria,LC
Albizia gummifera,LC
Albizia lebbeck,LC
Albizia lebbek,LC
Albizia lebbekoides,LC
Albizia odoratissima,LC
Albizia procera,LC
Albizia saman,LC
Albizia saponaria,LC
Albizia zygia,LC
Alces alces,LC
Alchemilla xanthochlora,LC
Alchornea grandiflora,LC
Alectryon ramiflorus,EN
Aleurites moluccana,LC
Aleurites montana,LC
Alisma plantago-aquatica,LC
Allium ampeloprasum,LC
Allium atrosanguineum,LC
Allium ericetorum,DD
Allium exile,LC
Allium insubricum,DD
Allium mongolicum,LC
Allium narcissiflorum,DD
Allium ramosum,LC
Allium schoenoprasum,LC
Allium sipyleum,LC
Allium suaveolens,LC
Allium thunbergii,DD
Allium triquetrum,LC
Alnus alnobetula,LC
Alnus cordata,LC
Alnus glutinosa,LC
Alnus hirsuta,LC
Alnus incana,LC
Alnus nepalensis,LC
Alnus oblongifolia,LC
Alnus rhombifolia,LC
Alnus rubra,LC
Alnus serrulata,LC
Alnus viridis,LC
Aloe arborescens,LC
Aloe secundiflora,LC
